ate,open,high,low,close,volume,barCount,average
2022-01-31 17:29:00,23.315,23.355,23.295,23.305,-1,-1,-1.0
2022-01-31 17:30:00,23.305,23.365,23.255,23.255,-1,-1,-1.0
2022-01-31 17:31:00,23.255,23.415,23.225,23.375,-1,-1,-1.0
2022-01-31 17:32:00,23.375,23.385,23.345,23.375,-1,-1,-1.0
2022-01-31 17:33:00,23.375,23.445,23.345,23.415,-1,-1,-1.0
2022-01-31 17:34:00,23.415,23.435,23.375,23.435,-1,-1,-1.0
2022-01-31 17:35:00,23.435,23.585,23.415,23.555,-1,-1,-1.0
2022-01-31 17:36:00,23.555,23.575,23.505,23.565,-1,-1,-1.0
2022-01-31 17:37:00,23.565,23.635,23.535,23.625,-1,-1,-1.0
2022-01-31 17:38:00,23.625,23.685,23.625,23.655,-1,-1,-1.0
2022-01-31 17:39:00,23.655,23.715,23.595,23.635,-1,-1,-1.0
2022-01-31 17:40:00,23.635,23.665,23.535,23.555,-1,-1,-1.0
2022-01-31 17:41:00,23.555,23.565,23.515,23.525,-1,-1,-1.0
2022-01-31 17:42:00,23.525,23.535,23.505,23.505,-1,-1,-1.0
2022-01-31 17:43:00,23.505,23.655,23.475,23.605,-1,-1,-1.0
2022-01-31 17:44:00,23.605,23.635,23.585,23.635,-1,-1,-1.0
2022-01-31 17:45:00,23.635,23.635,23.56,23.575,-1,-1,-1.0
2022-01-31 17:46:00,23.575,23.625,23.545,23.585,-1,-1,-1.0
2022-01-31 17:47:00,23.585,23.595,23.525,23.545,-1,-1,-1.0
2022-01-31 17:48:00,23.545,23.615,23.535,23.535,-1,-1,-1.0
2022-01-31 17:49:00,23.535,23.585,23.535,23.565,-1,-1,-1.0
2022-01-31 17:50:00,23.565,23.685,23.525,23.665,-1,-1,-1.0
2022-01-31 17:51:00,23.665,23.775,23.665,23.775,-1,-1,-1.0
2022-01-31 17:52:00,23.775,23.775,23.725,23.735,-1,-1,-1.0
2022-01-31 17:53:00,23.735,23.775,23.725,23.765,-1,-1,-1.0
2022-01-31 17:54:00,23.765,23.825,23.765,23.805,-1,-1,-1.0
2022-01-31 17:55:00,23.805,23.875,23.775,23.865,-1,-1,-1.0
2022-01-31 17:56:00,23.865,23.915,23.815,23.915,-1,-1,-1.0
2022-01-31 17:57:00,23.915,23.935,23.885,23.905,-1,-1,-1.0
2022-01-31 17:58:00,23.905,23.915,23.815,23.845,-1,-1,-1.0
2022-01-31 17:59:00,23.845,23.885,23.825,23.875,-1,-1,-1.0
2022-01-31 18:00:00,23.875,23.925,23.855,23.915,-1,-1,-1.0
2022-01-31 18:01:00,23.915,23.975,23.905,23.945,-1,-1,-1.0
2022-01-31 18:02:00,23.945,23.985,23.945,23.955,-1,-1,-1.0
2022-01-31 18:03:00,23.955,23.975,23.915,23.975,-1,-1,-1.0
2022-01-31 18:04:00,23.975,24.055,23.975,23.985,-1,-1,-1.0
